"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
11	0.000021192195878	0.000229271749552	0.000299940011998	"09:00-18:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Fr 11:00-20:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 18:00-01:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Sa 17:00-01:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"11:30-21:30"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 09:00-18:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Fr 09:00-17:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"09:00-20:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Su-Th 11:00-21:00;Fr-Sa 11:00-22:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Sa 11:00-22:00; Su 12:00-22:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 12:00-15:00,18:00-24:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 08:00-00:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 10:30-21:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"We-Su 11:00-23:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"12:00-23:30"
11	0.000021192195878	0.000229271749552	0.000299940011998	"10:00-00:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Fr 09:00-15:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Tu-Sa 18:00-22:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 09:00-17:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 00:00-01:00,12:00-24:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 00:00-02:00,12:00-24:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 10:00-19:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 12:00-14:30,19:00-22:30"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 12:00-20:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Fr 09:00-16:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 10:30-24:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Sa 09:00-20:00"
