http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
140904	0.486102151001328	"http://linkedgeodata.org/ontology/url"
33475	0.115484794645783	"http://linkedgeodata.org/ontology/is_in%3Acountry"
27964	0.096472495817018	"http://linkedgeodata.org/ontology/is_in%3Aregion"
27369	0.094419816121298	"http://linkedgeodata.org/ontology/source%3Aname"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/source%3Awfs"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Aposicion"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Atipo"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Alongitud"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Anumero"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Alatitud"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Acodigoine"
26236	0.090511099994825	"http://linkedgeodata.org/ontology/rednap%3Aficha"
26235	0.090507650112984	"http://linkedgeodata.org/ontology/rednap%3Agrupo"
26233	0.090500750349301	"http://linkedgeodata.org/ontology/rednap%3Anodo"
26231	0.090493850585617	"http://linkedgeodata.org/ontology/is_in%3Amunicipality"
26221	0.090459351767202	"http://linkedgeodata.org/ontology/is_in%3Aprovince"
24648	0.085032687630449	"http://linkedgeodata.org/ontology/rednap%3Aaltitudortometrica"
24479	0.084449657599227	"http://linkedgeodata.org/ontology/is_in%3Acontinent"
11098	0.038286788677488	"http://linkedgeodata.org/ontology/source%3Aref"
9949	0.03432287444155	"http://linkedgeodata.org/ontology/isIn"
9904	0.034167629758681	"http://linkedgeodata.org/ontology/ign%3Ared"
9901	0.034157280113156	"http://linkedgeodata.org/ontology/ign%3Alatitud"
9901	0.034157280113156	"http://linkedgeodata.org/ontology/ign%3Alongitud"
http://linkedgeodata.org/ontology/FuelStation
"n_sp"	"ratio_n_sp_stot"	"p"
270267	1	"http://linkedgeodata.org/ontology/changeset"
