?n	?predicate
20	<http://linkedgeodata.org/ontology/Name>
20	<http://linkedgeodata.org/ontology/_tip_>
20	<http://linkedgeodata.org/ontology/contact%3Aphone_1>
20	<http://linkedgeodata.org/ontology/cuisine%3Ade>
20	<http://linkedgeodata.org/ontology/outdoor_area>
20	<http://linkedgeodata.org/ontology/pizza>
20	<http://linkedgeodata.org/ontology/source%3Apostal_code>
19	<http://linkedgeodata.org/ontology/addr%3Ainclusion>
19	<http://linkedgeodata.org/ontology/addr%3Akebele>
19	<http://linkedgeodata.org/ontology/award>
19	<http://linkedgeodata.org/ontology/castle_type>
19	<http://linkedgeodata.org/ontology/cuisine%3Azh>
19	<http://linkedgeodata.org/ontology/description_2>
19	<http://linkedgeodata.org/ontology/feature>
19	<http://linkedgeodata.org/ontology/forks>
19	<http://linkedgeodata.org/ontology/is_in%3Azip>
19	<http://linkedgeodata.org/ontology/paloalto_ca%3Aid>
19	<http://linkedgeodata.org/ontology/pub>
19	<http://linkedgeodata.org/ontology/ref%3Anid>
19	<http://linkedgeodata.org/ontology/region>
19	<http://linkedgeodata.org/ontology/restaurant%3Awarm_meals>
19	<http://linkedgeodata.org/ontology/seats>
19	<http://linkedgeodata.org/ontology/website_2>
18	<http://linkedgeodata.org/ontology/addr%3Atown>
18	<http://linkedgeodata.org/ontology/contributor%3Aph>
18	<http://linkedgeodata.org/ontology/is_in%3Agovernorate>
18	<http://linkedgeodata.org/ontology/license%3Aunhcr>
18	<http://linkedgeodata.org/ontology/mhs%3Ainscription_date>
18	<http://linkedgeodata.org/ontology/opening_hours%3Arestaurant>
18	<http://linkedgeodata.org/ontology/operation%3Asulaimani>
18	<http://linkedgeodata.org/ontology/rer_edi_id%3Aref>
